Date,Forecast
2024-12-31,252.40974
2025-01-01,252.84161
2025-01-02,253.13193
2025-01-03,253.32124
2025-01-06,253.43968
2025-01-07,253.50905
2025-01-08,253.54478
2025-01-09,253.55762
2025-01-10,253.55501
2025-01-13,253.542
2025-01-14,253.52194
2025-01-15,253.49712
2025-01-16,253.46893
2025-01-17,253.43861
2025-01-20,253.40668
2025-01-21,253.37363
2025-01-22,253.33975
2025-01-23,253.30531
2025-01-24,253.27054
2025-01-27,253.23543
2025-01-28,253.20012
2025-01-29,253.16475
2025-01-30,253.12926
2025-01-31,253.09378
2025-02-03,253.05829
2025-02-04,253.02286
2025-02-05,252.98747
2025-02-06,252.95229
2025-02-07,252.91718
2025-02-10,252.88223
